Category,"Payment Method","Preferred Payment Method","Mismatched Payment Method"
Accessories,"Bank Transfer",Cash,28
Accessories,"Bank Transfer","Credit Card",39
Accessories,"Bank Transfer","Debit Card",32
Accessories,"Bank Transfer",PayPal,34
Accessories,"Bank Transfer",Venmo,33
Accessories,Cash,"Bank Transfer",30
Accessories,Cash,"Credit Card",40
Accessories,Cash,"Debit Card",27
Accessories,Cash,PayPal,33
Accessories,Cash,Venmo,33
Accessories,"Credit Card","Bank Transfer",36
Accessories,"Credit Card",Cash,45
Accessories,"Credit Card","Debit Card",46
Accessories,"Credit Card",PayPal,52
Accessories,"Credit Card",Venmo,36
Accessories,"Debit Card","Bank Transfer",30
Accessories,"Debit Card",Cash,34
Accessories,"Debit Card","Credit Card",37
Accessories,"Debit Card",PayPal,41
Accessories,"Debit Card",Venmo,33
Accessories,PayPal,"Bank Transfer",28
Accessories,PayPal,Cash,33
Accessories,PayPal,"Credit Card",27
Accessories,PayPal,"Debit Card",34
Accessories,PayPal,Venmo,36
Accessories,Venmo,"Bank Transfer",24
Accessories,Venmo,Cash,37
Accessories,Venmo,"Credit Card",45
Accessories,Venmo,"Debit Card",36
Accessories,Venmo,PayPal,31
Clothing,"Bank Transfer",Cash,54
Clothing,"Bank Transfer","Credit Card",60
Clothing,"Bank Transfer","Debit Card",47
Clothing,"Bank Transfer",PayPal,43
Clothing,"Bank Transfer",Venmo,39
Clothing,Cash,"Bank Transfer",47
Clothing,Cash,"Credit Card",51
Clothing,Cash,"Debit Card",40
Clothing,Cash,PayPal,47
Clothing,Cash,Venmo,42
Clothing,"Credit Card","Bank Transfer",56
Clothing,"Credit Card",Cash,55
Clothing,"Credit Card","Debit Card",51
Clothing,"Credit Card",PayPal,55
Clothing,"Credit Card",Venmo,54
Clothing,"Debit Card","Bank Transfer",46
Clothing,"Debit Card",Cash,46
Clothing,"Debit Card","Credit Card",54
Clothing,"Debit Card",PayPal,44
Clothing,"Debit Card",Venmo,47
Clothing,PayPal,"Bank Transfer",41
Clothing,PayPal,Cash,55
Clothing,PayPal,"Credit Card",46
Clothing,PayPal,"Debit Card",49
Clothing,PayPal,Venmo,41
Clothing,Venmo,"Bank Transfer",47
Clothing,Venmo,Cash,37
Clothing,Venmo,"Credit Card",47
Clothing,Venmo,"Debit Card",57
Clothing,Venmo,PayPal,51
Footwear,"Bank Transfer",Cash,18
Footwear,"Bank Transfer","Credit Card",15
Footwear,"Bank Transfer","Debit Card",20
Footwear,"Bank Transfer",PayPal,16
Footwear,"Bank Transfer",Venmo,15
Footwear,Cash,"Bank Transfer",9
Footwear,Cash,"Credit Card",18
Footwear,Cash,"Debit Card",14
Footwear,Cash,PayPal,27
Footwear,Cash,Venmo,22
Footwear,"Credit Card","Bank Transfer",20
Footwear,"Credit Card",Cash,16
Footwear,"Credit Card","Debit Card",14
Footwear,"Credit Card",PayPal,10
Footwear,"Credit Card",Venmo,13
Footwear,"Debit Card","Bank Transfer",15
Footwear,"Debit Card",Cash,14
Footwear,"Debit Card","Credit Card",15
Footwear,"Debit Card",PayPal,12
Footwear,"Debit Card",Venmo,21
Footwear,PayPal,"Bank Transfer",21
Footwear,PayPal,Cash,17
Footwear,PayPal,"Credit Card",16
Footwear,PayPal,"Debit Card",21
Footwear,PayPal,Venmo,22
Footwear,Venmo,"Bank Transfer",13
Footwear,Venmo,Cash,24
Footwear,Venmo,"Credit Card",18
Footwear,Venmo,"Debit Card",16
Footwear,Venmo,PayPal,22
Outerwear,"Bank Transfer",Cash,7
Outerwear,"Bank Transfer","Credit Card",9
Outerwear,"Bank Transfer","Debit Card",5
Outerwear,"Bank Transfer",PayPal,8
Outerwear,"Bank Transfer",Venmo,7
Outerwear,Cash,"Bank Transfer",11
Outerwear,Cash,"Credit Card",7
Outerwear,Cash,"Debit Card",10
Outerwear,Cash,PayPal,9
Outerwear,Cash,Venmo,11
Outerwear,"Credit Card","Bank Transfer",7
Outerwear,"Credit Card",Cash,6
Outerwear,"Credit Card","Debit Card",13
Outerwear,"Credit Card",PayPal,9
Outerwear,"Credit Card",Venmo,6
Outerwear,"Debit Card","Bank Transfer",12
Outerwear,"Debit Card",Cash,11
Outerwear,"Debit Card","Credit Card",12
Outerwear,"Debit Card",PayPal,9
Outerwear,"Debit Card",Venmo,13
Outerwear,PayPal,"Bank Transfer",6
Outerwear,PayPal,Cash,7
Outerwear,PayPal,"Credit Card",7
Outerwear,PayPal,"Debit Card",12
Outerwear,PayPal,Venmo,9
Outerwear,Venmo,"Bank Transfer",10
Outerwear,Venmo,Cash,6
Outerwear,Venmo,"Credit Card",12
Outerwear,Venmo,"Debit Card",5
Outerwear,Venmo,PayPal,14
